Player,Squad,90s,Yellow cards,Red cards,Two yellow cards,Fouls committed,Fouls drawn,Offsides,Crosses attempted,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Ball recoveries,Aerial duels won,Aerial duels lost,Aerial duels won percentage
Maya Lobo,W Sydney,1.8,0,0,0,1.11,0.56,0,0.56,3.33,1.11,0,0,0,3.89,0,0.56,0
Chloe Logarzo,Western United,19.5,0.1,0,0,0.82,1.23,0.1,2.67,0.77,1.03,0,0,0,3.44,1.08,1.59,40.4
Annalie Longo,Wellington Phoenix,21.7,0,0,0,0.18,1.2,0.23,5.53,0.92,1.2,0,0,0,5.9,0.18,0.18,50
Rachel Lowe,Melb Victory,22.3,0.04,0,0,1.08,1.08,0.36,0.4,0.54,0.72,0.04,0,0,3.9,0.58,0.67,46.4
Hana Lowry,Sydney FC,3.5,0,0,0,0.29,2.29,0,5.14,2.57,2.57,0,0,0,8.86,0.86,0,100
Amber Luchtmeijer,Sydney FC,3.2,0,0,0,0.94,0.63,0,1.88,0,1.56,0,0,0,2.81,1.56,1.88,45.5
Grace Maher,Western United,22.7,0,0,0,0.35,0.93,0,4.32,1.19,1.19,0,0,0,7.14,0.97,0.84,53.7
Emma Main,Wellington Phoenix,12.6,0.08,0,0,1.03,0.48,0.32,3.65,0.63,1.19,0,0,0,1.9,1.75,0.87,66.7
Coco Majstorovic,Canberra Utd,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcey Malone,Canberra Utd,18.1,0.17,0,0,0.99,0.72,0,0.39,1.71,1.33,0,0,0,4.75,0.33,0.55,37.5
Maja Markovski,Canberra Utd,16.9,0.18,0,0,0.95,0.59,0.12,1.48,0.65,1.42,0,0,0.06,5.15,1.36,0.89,60.5
Lucía Marte,Adelaide Utd,20.6,0.05,0,0,0.63,0.92,0.05,3.74,1.75,1.6,0,0,0.1,5.29,0.78,1.36,36.4
Annabel Martin,Central Coast Mariners,22.9,0.09,0,0,0.39,1,0.35,3.23,1.83,1.75,0,0,0,5.81,0.79,0.57,58.1
Bethany Mason-Jones,Sydney FC,3.8,0,0,0,0,0.26,0,0,0,0,0,0,0,2.37,0.26,0.26,50
Danika Matos,W Sydney,23,0,0,0,0.52,0.43,0.35,1.7,1.74,1.83,0,0,0.04,4.26,0.91,0.91,50
Madison McComasky,W Sydney,11.2,0.09,0,0,0.36,0.36,0,0.27,1.07,1.25,0,0,0,5.63,1.61,0.98,62.1
Maya McCutcheon,Wellington Phoenix,22.6,0.13,0,0,1.02,0.84,0.09,0.4,1.37,2.83,0,0,0,5.62,0.62,0.58,51.9
Leticia McKenna,Melb City,18.3,0.05,0,0,0.44,0.22,0,0.93,0.27,1.15,0,0,0,3.93,0.33,0.71,31.6
Tijan McKenna,Perth Glory,18.7,0.16,0.05,0.05,1.02,0.48,0,1.6,1.39,3.37,0,0.05,0,6.95,0.7,0.59,54.2
Alex McKenzie,Canberra Utd,11.6,0.26,0,0,1.21,1.29,0.09,1.29,1.64,1.21,0,0,0,4.31,0.43,0.09,83.3
Lily McMahon,Central Coast Mariners,0.6,0,0,0,0,0,0,1.67,1.67,1.67,0,0,0,8.33,1.67,1.67,50
Shelby McMahon,Melb City,4.3,0,0,0,0.47,0.93,0.23,0,0.7,0.7,0,0,0,6.98,1.4,2.33,37.5
Zoe McMeeken,Wellington Phoenix,9.6,0.1,0,0,1.77,0.73,0.42,2.81,2.4,2.71,0,0,0,6.56,2.08,1.04,66.7
Ella McMillan,Wellington Phoenix,0.2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0
Holly McNamara,Melb City,9.6,0.1,0,0,1.04,2.81,0.21,1.04,0.21,1.04,0.21,0,0,3.23,1.56,1.35,53.6
Matilda McNamara,Adelaide Utd,21.4,0.05,0.05,0,0.84,0.65,0.05,0.23,1.59,1.45,0,0,0,7.38,1.59,0.79,66.7
Holly McQueen,Brisbane Roar,21.3,0.14,0.05,0,0.8,0.56,0,0.28,1.69,2.02,0,0,0,5.92,0.47,0.8,37
Aimee Medwin,Western United,15.4,0,0,0,0.78,0.32,0.06,3.57,0.71,1.23,0,0,0,4.09,1.1,0.58,65.4
Ilona Melegh,Adelaide Utd,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Kiera Meyers,Melb City,0.3,0,0,0,0,0,3.33,3.33,0,0,0,0,0,6.67,0,0,0
Abby Middleton,Adelaide Utd,0.3,0,0,0,0,0,0,3.33,0,6.67,0,0,0,6.67,0,6.67,0
Malena Mieres,Melb City,21.7,0,0,0,0,0.14,0,0,0,0.05,0,0,0,3.32,0.41,0,100
Claudia Mihocic,Western United,10.2,0,0,0,0.69,0.39,0,0.2,1.96,1.37,0,0.1,0.1,5.39,0.78,0.88,47.1
Tianah Miro,Canberra Utd,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Sarah Morgan,Adelaide Utd,19.2,0.1,0,0,0.78,0.63,0.05,0.52,1.04,1.46,0,0,0,6.93,0.42,0.42,50
Tanaye Morris,Brisbane Roar,2.1,0.48,0,0,2.38,0,0.48,2.38,0.48,0.48,0,0,0,4.76,0.48,0.95,33.3
Kayla Morrison,Melb Victory,23,0.04,0,0,0.43,0.22,0.09,0.09,1.57,1.04,0,0,0,7.83,1.17,0.65,64.3
Meleri Mullan,Adelaide Utd,2.6,0,0,0,3.08,1.54,0.38,3.08,1.54,3.46,0,0.38,0,4.62,0.77,0.77,50
Alana Murphy,Melb Victory,19.2,0.16,0,0,1.15,0.31,0,3.33,1.51,1.46,0,0,0,7.76,0.57,0.21,73.3
Emilia Murray,Melb City,0.8,0,0,0,0,0,1.25,2.5,1.25,1.25,0,0,0,2.5,1.25,0,100
Holly Murray,Canberra Utd,6.9,0.14,0,0,1.01,0.14,0,0.29,2.17,2.17,0,0,0,4.78,1.88,0.43,81.3
Jessika Nash,Central Coast Mariners,23,0,0,0,0.22,0.61,0,0.3,0.78,0.87,0,0,0,5.96,0.26,0.65,28.6
Ruby Nathan,Canberra Utd,4.6,0,0,0,0.87,0.43,0.87,1.09,0,0.65,0,0,0,3.26,0.65,1.52,30
Brooke Neary,Wellington Phoenix,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Newbon,Melb Victory,23,0,0,0,0,0.09,0,0.04,0,0,0,0,0,2.13,0.26,0,100
Brooke Nunn,Central Coast Mariners,19.1,0.16,0,0,1.05,0.73,0.37,1.94,0.63,1.15,0,0,0,6.49,0.05,0.26,16.7
Sarah O'Donoghue,Perth Glory,10.8,0.19,0,0,1.3,1.2,0.37,0.46,0.56,1.94,0,0,0,5,0.46,0.83,35.7
Ella O'Grady,Melb Victory,4.3,0.47,0,0,2.33,0.47,0.47,1.86,0.93,0.47,0,0,0,3.26,0.7,0.93,42.9
Taylor Otto,Melb City,23,0.04,0,0,0.39,0.52,0.09,0,1.78,1.52,0,0,0,5.22,1.26,0.65,65.9
Hollie Palmer,Perth Glory,2.7,0.37,0,0,1.48,1.11,0,0,0.37,2.59,0,0,0,5.19,0,0.37,0
Chrissy Panagaris,Adelaide Utd,0.8,0,0,0,2.5,1.25,1.25,2.5,0,1.25,0,0,0,3.75,1.25,0,100
Jade Pennock,Central Coast Mariners,22,0.18,0,0,0.82,0.91,0.55,0.68,0.82,1.23,0.05,0,0,3.68,1.41,0.86,62
